T,a1,a2,a3
6961,3577, 3391, 4095
7089,2822, 2827, 2928
7208,2875, 3024, 2865
7322,2785, 2748, 2810
7440,2836, 2803, 3120
7554,2814, 2853, 2879
7672,2857, 2777, 2894
7786,2769, 2951, 2859
7904,2877, 2891, 2950
8018,2810, 2925, 2815
8136,2826, 2878, 2858
8250,2896, 2851, 2855
8368,2865, 2804, 2785
8482,2942, 2773, 2866
8600,2880, 2800, 2800
8714,2899, 2747, 2912
8832,2838, 2829, 2785
8946,2847, 2906, 2923
9064,2902, 2885, 2894
9178,2928, 2763, 2896
9296,2903, 2825, 2878
9412,2919, 2851, 2917
9528,2875, 2783, 2811
9643,2857, 2875, 2841
9759,2881, 2811, 2903
9874,2918, 2896, 2871
9990,2795, 2802, 2883
10106,2925, 2813, 2890
10222,2882, 2874, 2871
10337,2885, 2863, 2850
10452,2939, 3002, 2832
10568,2897, 2930, 2863
10692,2887, 2810, 2902
10832,2903, 2754, 2888
10962,2907, 3082, 2832
11093,2889, 2779, 2852
11223,2912, 2818, 2899
11353,2862, 2815, 2833
11483,2934, 2785, 2799
11613,2897, 2864, 2832
11753,2917, 2782, 2858
11883,2750, 2783, 2899
12020,2858, 2859, 2827
12150,2907, 2798, 2896
12280,2860, 2892, 2879
12413,2899, 2863, 2823
12543,2896, 2850, 2880
12691,2947, 2907, 2800
12821,2933, 2735, 2935
12954,2869, 2866, 2895
13084,2891, 2923, 2765
13215,2894, 2936, 2823
13348,2885, 2799, 2866
13471,2896, 2753, 2880
13601,2930, 2858, 2868
13731,2866, 2768, 2861
13861,2864, 2851, 2802
13991,2923, 2725, 2978
14122,2912, 2765, 2889
14252,2891, 2800, 2807
14382,2894, 2875, 2849
14512,2925, 2832, 2951
14652,2855, 3108, 2810
14782,2879, 2970, 2850
14912,2916, 2896, 2918
15043,2944, 2797, 2864
15173,3147, 2845, 2819
15303,2870, 2896, 2866
15430,2885, 2771, 2862
15557,2891, 2909, 2850
15683,2896, 2863, 2894
15813,2859, 2768, 2855
15943,2928, 2770, 2902
16073,2939, 2783, 2976
16204,2952, 2861, 2926
16337,2926, 2880, 2896
16467,2892, 2800, 2833
16597,2926, 2848, 2800
16727,2881, 2679, 2891
16858,2925, 2843, 2889
16988,2888, 2873, 2877
17121,2879, 2787, 2861
17254,2803, 2817, 2862
17386,2862, 2913, 2799
17524,2866, 2800, 2895
17655,2854, 2899, 2832
17788,2876, 2880, 2793
17918,2905, 2849, 2928
18048,2864, 2803, 2800
18178,2845, 2805, 2864
18309,2899, 2714, 2912
18439,2896, 2745, 2933
18569,2934, 2739, 2838
18699,2943, 2869, 2880
18829,2887, 2799, 2814
18960,2896, 2893, 2845
19090,2866, 2861, 2869
19220,2932, 2877, 2888
19346,2869, 2890, 2851
19476,2905, 2833, 2864
19606,2929, 2800, 2862
19736,2928, 2786, 2928
19867,2910, 2859, 2893
19997,2864, 2839, 2863
20127,2911, 2749, 2989
20257,2906, 2861, 2803
20387,2879, 2747, 2901
20518,2850, 2805, 2811
20648,2851, 2899, 2944
20778,2861, 2864, 2928
20908,2864, 2808, 2816
21038,2828, 2831, 2815
21169,2887, 2800, 2836
21299,2893, 2865, 2797
21425,2852, 2928, 2845
21555,2879, 2835, 3242
21685,2881, 2859, 2941
21815,2917, 2934, 2885
21946,2870, 2837, 2860
22076,2899, 2860, 2809
22206,2890, 2791, 2864
22336,2855, 2768, 2811
22466,2908, 2546, 2831
22597,2893, 2761, 2820
22727,2918, 2896, 2930
22857,2916, 2870, 2931
22987,2867, 2769, 2843
23117,2913, 2857, 2901
23248,2939, 3361, 2889
23378,2927, 2800, 2864
23504,2919, 2764, 2866
23634,2895, 2838, 2770
23764,2891, 2893, 2834
23894,2911, 2910, 2850
24024,2877, 2906, 2811
