T,pci,rci
6789,0.00,0.00
6903,0.00,0.00
7021,0.00,0.00
7135,0.00,0.00
7254,0.00,0.00
7368,0.00,0.00
7486,0.00,0.00
7604,0.00,0.00
7718,0.00,0.00
7836,0.00,0.00
7951,0.00,0.00
8069,0.00,0.00
8184,0.00,0.00
8302,0.00,0.00
8417,0.00,0.00
8535,0.00,0.00
8649,0.00,0.00
8766,0.00,0.00
8880,0.00,0.00
8997,0.00,0.00
9111,0.00,0.00
9228,0.00,0.00
9342,0.00,0.00
9459,0.00,0.00
9573,0.00,0.00
9690,0.00,0.00
9804,0.00,0.00
9921,0.00,0.00
10035,0.00,0.00
10152,0.00,0.00
10266,0.00,0.00
10383,0.00,0.00
10498,0.00,0.00
10614,0.00,0.00
10729,0.00,0.00
10845,0.00,0.00
10960,0.00,0.00
11076,0.00,0.00
11191,0.00,0.00
11307,0.00,0.00
11422,0.00,0.00
11538,0.00,0.00
11675,0.00,0.00
11805,0.00,0.00
11935,0.00,0.00
12062,0.00,0.00
12202,0.00,0.00
12335,0.00,0.00
12466,0.00,0.00
12599,0.00,0.00
12729,0.00,0.00
12859,0.00,0.00
12986,0.00,0.00
13120,0.00,0.00
13251,0.00,0.00
13384,0.00,0.00
13506,0.00,0.00
13636,0.00,0.00
13766,0.00,0.00
13897,0.00,0.00
14023,0.00,0.00
14155,0.00,0.00
14287,0.00,0.00
14417,0.00,0.00
14547,0.00,0.00
14680,0.00,0.00
14811,0.00,0.00
14938,0.00,0.00
15152,0.00,0.00
15380,0.00,0.00
15628,0.00,0.00
15761,0.00,0.00
15892,0.00,0.00
16024,0.00,0.00
16156,0.00,0.00
16287,0.00,0.00
16419,0.00,0.00
16551,0.00,0.00
16688,0.00,0.00
16823,0.00,0.00
16959,0.00,0.00
17099,0.00,0.00
17230,0.00,0.00
17373,0.00,0.00
17508,0.00,0.00
17651,0.00,0.00
17789,0.00,0.00
17938,0.00,0.00
18069,0.00,0.00
18202,0.00,0.00
18334,0.00,0.00
18465,0.00,0.00
18597,0.00,0.00
18729,0.00,0.00
18866,0.00,0.00
19001,0.00,0.00
19132,0.00,0.00
19267,0.00,0.00
19399,0.00,0.00
19531,0.00,0.00
19662,0.00,0.00
19794,0.00,0.00
19926,0.00,0.00
20057,0.00,0.00
20189,0.00,0.00
20321,0.00,0.00
20452,0.00,0.00
20581,0.00,0.00
20713,0.00,0.00
20854,0.00,0.00
20986,0.00,0.00
21117,0.00,0.00
21249,0.00,0.00
21381,0.00,0.00
21512,0.00,0.00
21644,0.00,0.00
21776,0.00,0.00
21908,0.00,0.00
22039,0.00,0.00
22171,0.00,0.00
22306,0.00,0.00
22435,0.00,0.00
22569,0.00,0.00
22701,0.00,0.00
22839,0.00,0.00
22971,0.00,0.00
23102,0.00,0.00
23252,0.00,0.00
23383,0.00,0.00
23517,0.00,0.00
23654,0.00,0.00
23785,0.00,0.00
23920,0.00,0.00
24054,0.00,0.00
24188,0.00,0.00
24322,0.00,0.00
24461,0.00,0.00
24602,0.00,0.00
24735,0.00,0.00
24869,0.00,0.00
25002,0.00,0.00
25138,0.00,0.00
25275,0.00,0.00
25403,0.00,0.00
25535,0.00,0.00
25675,0.00,0.00
25809,0.00,0.00
25938,0.00,0.00
26075,0.00,0.00
26209,0.00,0.00
26357,0.00,0.00
26492,0.00,0.00
26626,0.00,0.00
26764,0.00,0.00
26902,0.00,0.00
27050,0.00,0.00
27181,0.00,0.00
27313,0.00,0.00
27447,0.00,0.00
27584,0.00,0.00
27719,0.00,0.00
27853,0.00,0.00
27988,0.00,0.00
28120,0.00,0.00
28247,0.00,0.00
28378,0.00,0.00
28507,0.00,0.00
28642,0.00,0.00
28780,0.00,0.00
28909,0.00,0.00
29039,0.00,0.00
29176,0.00,0.00
29302,0.00,0.00
29433,0.00,0.00
