T,state
10453,3
11464,1
11500,1
11510,1
11519,1
11533,1
11543,1
11553,1
11567,1
11576,1
11587,1
11626,1
11640,1
11650,1
11659,1
11673,1
11683,1
11693,1
11707,1
11717,1
11756,1
11770,1
11780,1
11789,1
11803,1
11813,1
11823,1
11837,1
11847,1
11886,1
11900,1
11910,1
11920,1
11934,1
11943,1
11953,1
11973,3
12052,3
13295,3
13305,3
13319,3
13328,3
13338,3
13352,3
13361,3
13371,3
13386,3
13427,3
13436,3
13450,3
13460,3
13469,3
13483,3
13493,3
13503,3
13518,3
13558,3
13568,3
13582,3
13592,3
13601,3
13615,3
13625,3
13634,3
13650,3
13690,3
13700,3
13714,3
13723,3
13733,3
13747,3
13757,3
13766,3
13781,3
13822,3
13831,3
13845,3
13855,3
13865,3
13879,3
13888,3
13898,3
13913,3
13954,3
13963,3
13977,3
13987,3
13987,3
13999,3
14013,3
14023,3
14033,3
14048,3
14088,3
14098,3
14112,3
14122,3
14131,3
14145,3
14155,3
14165,3
14179,3
14220,3
14230,3
14244,3
14253,3
14263,3
14277,3
14287,3
14296,3
14312,3
14352,3
14362,3
14376,3
14385,3
14395,3
14409,3
14418,3
14428,3
14443,3
14477,3
14493,3
14507,3
14517,3
14526,3
14540,3
14550,3
14560,3
14574,3
14584,3
14625,3
14639,3
14649,3
14658,3
14672,3
14682,3
14691,3
14705,3
14716,3
14750,3
14771,3
14780,3
14790,3
14804,3
14813,3
14823,3
14837,3
14847,3
14859,3
14902,3
14912,3
14922,3
14936,3
14945,3
14955,3
14969,3
14978,3
14991,3
15034,3
15044,3
15053,3
15067,3
15077,3
15086,3
15100,3
15110,3
15122,3
15166,3
15175,3
15185,3
15199,3
15209,3
15218,3
15232,3
15242,3
15254,3
15297,3
15307,3
15317,3
15331,3
15340,3
15350,3
15364,3
15374,3
15386,3
15429,3
15439,3
15448,3
15462,3
15472,3
15482,3
15496,3
15505,3
15517,3
15561,3
15570,3
15580,3
15594,3
15604,3
15613,3
15627,3
15637,3
15649,3
15692,3
15702,3
15712,3
15726,3
15735,3
15745,3
15759,3
15769,3
15781,3
15824,3
15834,3
15843,3
15857,3
15867,3
15877,3
15891,3
15900,3
15912,3
15956,3
15966,3
15975,3
15989,3
15999,3
16008,3
16022,3
16032,3
16044,3
16088,3
16097,3
16107,3
16121,3
16131,3
16140,3
16154,3
16164,3
16174,3
16219,3
16229,3
16239,3
16253,3
16262,3
16272,3
16286,3
16295,3
16308,3
16347,3
16361,3
16370,3
16384,3
16394,3
16404,3
16418,3
16427,3
16438,3
16478,3
16492,3
16502,3
16512,3
16526,3
16535,3
16545,3
16559,3
16569,3
16610,3
16624,3
16634,3
16643,3
16657,3
16667,3
16677,3
16691,3
16702,3
16742,3
16756,3
16766,3
16775,3
16789,3
16799,3
16808,3
16822,3
16833,3
16874,3
16888,3
16897,3
16907,3
16921,3
16931,3
16940,3
16954,3
16965,3
17005,3
17019,3
17029,3
17039,3
17052,3
17062,3
17072,3
17086,3
17096,3
17137,3
17151,3
17161,3
17170,3
17184,3
17194,3
17203,3
17217,3
17228,3
17265,3
17283,3
17292,3
17302,3
17316,3
17325,3
17325,3
