T,x1,y1,z1,x2,y2,z2,x3,y3,z3,pitch,roll
6749,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
6891,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7009,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7123,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7242,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7356,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7475,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7589,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7708,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7822,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
7940,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8054,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8172,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8286,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8405,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8519,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8637,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8751,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8868,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
8982,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9099,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9213,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9330,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9444,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9561,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9675,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9792,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
9906,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10023,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10138,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10255,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10370,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10486,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10601,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10717,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10832,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
10959,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11092,0, 0, 0,	0, 0, 0,	0, 0, 0,	0.00, 0.00
11228,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
11458,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
11654,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
11888,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
12118,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
12329,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
12517,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
12711,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
12913,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
13107,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
13262,97, -168, 801,	99, 172, 725,	-180, 0, 840,	15.40, 12.51
