T,L1,L2,L3
6755,0, 0, 0
6891,386, 343, 287
7009,582, 524, 591
7123,687, 592, 666
7241,736, 655, 723
7355,760, 685, 760
7474,782, 699, 781
7588,791, 707, 792
7706,789, 708, 800
7820,789, 710, 800
7938,783, 711, 798
8052,785, 714, 800
8170,782, 714, 802
8284,785, 713, 803
8403,785, 714, 800
8517,786, 714, 797
8636,786, 716, 795
8750,791, 716, 797
8868,790, 713, 802
8982,784, 714, 803
9099,784, 714, 803
9213,781, 713, 796
9330,776, 715, 796
9444,781, 716, 796
9561,779, 715, 802
9675,783, 711, 801
9792,779, 711, 800
9906,785, 711, 802
10023,788, 716, 800
10138,789, 716, 801
10262,790, 713, 801
10392,784, 714, 800
10529,781, 713, 803
10668,781, 710, 798
10803,778, 713, 801
10929,787, 714, 802
11059,786, 711, 803
11190,785, 715, 800
11320,788, 714, 803
11450,792, 715, 804
11581,788, 715, 808
11711,785, 712, 811
11841,782, 710, 805
11971,784, 709, 801
12102,783, 709, 800
12232,779, 708, 802
12362,780, 705, 801
12489,787, 710, 797
12612,786, 711, 799
12742,788, 713, 800
12872,790, 711, 803
13003,791, 711, 802
13136,786, 709, 800
13266,786, 711, 802
13396,782, 712, 802
13526,775, 708, 794
13660,766, 695, 781
13790,757, 688, 769
13920,748, 679, 760
14063,748, 668, 755
14295,741, 663, 756
14558,730, 659, 748
14758,725, 653, 741
14951,721, 652, 731
15153,714, 647, 725
15346,717 642, 723
15496,718, 642, 724
15612,717, 644, 721
15733,716, 645, 719
15854,711, 644, 709
15970,709, 646, 700
16095,704, 646, 693
16227,698, 649, 685
16361,691, 654, 677
16493,680, 649, 666
16625,669, 636, 648
16757,655, 616, 629
16888,638, 597, 609
17020,616, 570, 583
17152,575, 526, 549
17284,537, 490, 511
17415,509, 466, 475
17547,491, 450, 454
17679,475, 431, 441
17807,465, 419, 429
17935,446, 402, 412
18064,424, 382, 384
18191,407, 366, 365
18323,384, 348, 345
18455,367, 321, 316
18587,346, 298, 293
18719,329, 279, 277
18850,303, 253, 249
18982,281, 230, 223
19114,263, 212, 204
19246,241, 196, 188
19380,218, 163, 166
19520,190, 135, 129
19651,166, 114, 108
19783,149, 100, 92
19910,132, 88, 77
20042,118, 70, 62
20174,104, 56, 45
20305,93, 43, 38
20444,79, 0, 33
20572,66, 0, 30
20719,0, 0, 30
20856,0, 0, 29
21004,0, 0, 27
21144,0, 0, 26
21275,0, 0, 26
21421,0, 0, 26
21562,0, 0, 27
21709,0, 0, 28
21845,0, 0, 28
21985,0, 0, 28
22116,0, 0, 28
22257,0, 0, 28
22392,0, 0, 28
22528,0, 0, 28
22674,0, 0, 28
22810,0, 0, 27
22951,0, 0, 27
23078,0, 0, 26
23219,0, 0, 25
23364,0, 0, 26
23504,0, 0, 26
23645,0, 0, 27
23768,0, 0, 28
23915,0, 0, 28
24052,0, 0, 28
24188,0, 0, 28
24319,0, 0, 29
24456,0, 0, 29
24609,0, 0, 30
24745,0, 0, 29
24876,0, 0, 30
25022,0, 0, 30
25172,0, 0, 30
