T,a1,a2,a3
6607,2913,2846,2834
6637,2962,2812,2850
6670,2870,2994,2912
6703,2931,2816,2841
6736,2945,2864,2838
6769,2946,2786,2897
6802,2864,2895,2802
6835,2935,2891,2777
6868,2868,2827,2880
6901,2815,2864,2875
6934,2880,2791,2863
6967,2818,2878,2858
7000,2864,2704,2861
7033,2814,2832,2846
7066,2885,2817,2835
7099,2808,2783,2867
7132,2879,2787,2846
7165,2842,2865,2831
7198,2832,2887,2861
7231,2843,2864,2842
7264,2819,2799,2837
7297,2845,2773,2826
7330,2845,2839,2919
7363,2841,2867,2870
7396,2826,2821,2802
7429,2815,2822,2775
7462,2819,2861,2877
7495,2832,2889,2839
7528,2809,2768,2822
7561,2877,2833,2768
7594,2896,2800,2858
7627,2883,2901,2815
7660,2843,2832,2895
7693,2854,2855,2654
7726,2898,2925,2827
7759,2833,2817,2944
7792,2815,2844,2632
7825,2882,2880,2814
7858,2814,2796,2926
7891,2852,2825,2880
7924,2832,2863,2864
7957,2875,2790,2817
7990,2899,2795,2814
8023,2827,2929,2877
8056,2877,2847,2870
8089,2870,2845,2839
8122,2919,2688,2912
8155,2880,2859,2843
8188,2904,2816,2850
8221,2915,2864,2823
8254,2871,2786,2922
8287,2886,2953,2846
8320,2886,2805,2784
8353,2907,2700,2806
8386,2889,2807,2887
8419,2900,2763,2770
8452,2937,2832,2827
8485,2901,2866,2852
8518,2893,2832,2893
8551,2922,2813,2775
8584,2913,2821,2890
8617,2871,2939,2855
8650,2892,2907,2831
8683,2928,2902,2819
8716,2865,2929,2797
8749,2887,2787,2864
8782,2891,2864,2851
8815,2864,2875,2821
8848,2878,2785,2880
8881,2879,2761,2860
8914,2928,2867,2921
8947,2911,2838,2877
8980,2907,2843,2815
9013,2896,2789,2832
9046,2889,2831,2883
9079,2861,2832,2810
9112,2894,2807,2878
9145,2886,2923,2877
9178,2912,2779,2858
9211,2899,2881,2815
9244,2871,2803,2886
9277,2902,2767,2797
9310,2910,2861,2851
9343,2927,2837,2780
9376,2933,2833,2901
9409,3020,2832,2829
9442,2896,2868,2850
9475,2896,2737,2829
9508,2896,2771,2778
9541,2944,2880,2857
9574,2875,2785,2813
9607,2896,2851,2825
9640,2905,2889,2859
9673,2923,2863,2887
9706,2907,2912,2832
9739,2937,2815,2781
9772,2928,2819,2839
9805,2879,2865,2865
9838,2942,2815,2816
9871,2921,2835,2830
9904,2926,2878,2907
9937,2880,2901,2864
9970,2883,2783,2837
10003,2859,2863,2849
10036,2889,2876,2807
10069,2927,2928,2817
10102,2907,2819,2622
10135,2859,2800,2849
10168,2907,2898,2879
10201,2865,2880,2838
10234,2883,2810,2825
10267,2910,2807,2886
10300,2937,2902,3014
10333,2896,2880,2857
10366,2905,2862,2787
10399,2901,2800,2928
10432,2896,2781,2880
10465,2887,2833,2797
10498,2923,2919,2849
10531,2897,2807,2927
10564,2966,2869,2828
10597,2939,2866,2826
10630,2907,2803,2898
10663,2893,2869,2773
10696,2926,2864,2883
10729,2890,2771,2855
10762,2917,2829,2885
10795,2947,2850,2808
10828,2919,2864,2832
10861,2886,2914,2843
10894,2895,2817,2784
10927,2896,2903,2832
10960,2910,2893,2822
10993,2935,2841,2787
11026,2880,2832,2959
11059,2867,2885,2838
11092,2912,2813,2903
11125,2895,2847,2882
11158,2881,2857,2807
11191,2861,2832,2815
11224,2931,3169,2863
11257,2902,2873,2839
11290,2891,2915,2837
11323,2947,2790,2855
11356,2896,2832,2864
11389,2880,2883,2896
11422,2918,2817,2829
11455,2926,2783,2839
11488,2862,2854,2901
11521,2935,2831,2731
11554,2934,2945,2829
11587,2885,2775,2857
11620,2898,2672,2823
11653,2874,2838,2851
11686,2867,2856,2855
11719,2867,2801,2900
11752,2895,2910,2837
11785,2883,2866,2770
11818,2864,2832,2757
11851,2869,2892,2842
11884,3066,2803,2896
11917,2921,2928,2801
11950,2902,2846,2790
11983,2915,2779,2904
12016,2915,2849,2883
12049,2944,2849,2799
12082,2867,2815,2849
12115,2898,2924,2816
12148,2911,2774,2787
12181,2896,2845,2842
12214,2911,2992,2790
12247,2895,2869,2780
12280,2902,2867,2804
12313,2896,2839,2849
12346,2891,2775,2853
12379,2921,2837,2798
12412,2867,2708,2891
12445,2900,2894,2815
12478,2874,2838,2811
12511,2912,2880,2800
12544,2882,2555,2832
12577,2896,2833,2617
12610,2898,2741,2869
12643,2875,2861,2805
12676,2881,2873,2789
12709,2901,2529,2817
12742,2898,2847,2890
12775,2928,2853,2791
12808,2900,2837,2830
12841,2951,2770,2872
12874,2926,2863,2877
