T,yaw,pitch,roll
7364,0.07, -0.01, 0.01
7487,0.06, -0.02, 0.03
7605,0.05, -0.02, 0.03
7719,0.05, -0.02, 0.03
7837,0.05, -0.01, 0.01
7951,0.05, -0.00, -0.00
8070,0.05, -0.00, 0.00
8184,0.05, -0.00, 003
8302,0.05, -0.00, 0.05
8416,0.05, -0.01, 0.05
8534,0.05, -0.00, 0.04
8649,0.06, 0.01, 0.02
8767,0.06, 0.01, 0.02
8880,0.06, 0.01, 0.02
8998,0.06, 0.00, 0.03
9112,0.06, -0.01, 0.03
9230,0.06, -0.02, 0.02
9344,0.06, -0.02, 0.00
9462,0.06, -0.01, -0.00
9576,0.06, -0.00, 0.00
9694,0.06, -0.00, 0.02
9812,0.05, -0.01, 0.03
9926,0.05, -0.01, 0.03
10044,0.05, -0.01, 0.02
10159,0.05, 0.00, 0.02
10275,0.05, 0.01, 0.02
10390,0.05, 0.02, 0.03
10506,0.05, 0.01, 0.04
10621,0.05, 0.00, 0.04
10737,0.05, -0.01, 0.02
10859,0.05, -0.01, 0.01
10989,0.05, 0.00, 0.01
11124,0.05, 0.01, 0.01
11253,0.04, -0.00, 0.02
11386,0.04, -0.02, 0.02
11523,0.04, -0.02, 0.02
11653,0.04, -0.01, 0.01
11783,0.04, 0.01, 0.02
11913,0.04, 0.02, 0.03
12043,0.03, 0.01, 0.03
12173,0.03, 0.00, 0.03
12303,0.03, -0.00, 0.03
12443,0.03, 0.01, 0.02
12573,0.03, 0.01, 0.02
12704,0.03, 0.01, 0.02
12837,0.02, -0.00, 0.02
12964,0.02, -0.02, 0.02
13094,0.02, -0.02, 0.01
13224,0.02, -0.01, 0.01
13354,0.01, 0.00, 0.02
13485,0.01, 0.01, 0.02
13618,0.01, -0.00, 0.02
13797,0.01, -0.01, 0.02
13965,0.00, 0.00, 0.03
14187,-0.00, 0.02, 0.03
14335,-0.00, 0.01, 0.02
14451,-0.01, 0.00, 0.03
14585,-0.01, -0.00, 0.02
14717,-0.01, -0.00, 0.02
14852,-0.01, 0.01, 0.01
14990,-0.02, 0.01, 0.02
15122,-0.02, 0.01, 0.02
15254,-0.02, -0.00, 0.03
15385,-0.03, -0.00, 0.03
15517,-0.03, 0.00, 0.03
15649,-0.03, 0.02, 0.03
15781,-0.03, 0.02, 0.03
15913,-0.04, 0.02, 0.03
16044,-0.04, 0.00, 0.03
16190,-0.04, -0.00, 0.03
16324,-0.04, 0.00, 0.02
16456,-0.04, 0.01, 0.02
16589,-0.05, 0.01, 0.02
16719,-0.05, 0.01, 0.02
16850,-0.05, -0.00, 0.02
16982,-0.05, -0.00, 0.02
17114,-0.05, 0.00, 0.02
17258,-0.05, 0.02, 0.02
17389,-0.05, -0.05, -0.08
17525,-0.05, -0.06, -0.08
17673,-0.05, -0.07, -0.11
17809,-0.05, -0.03, -0.07
17937,-0.04, 0.01, -0.04
18083,-0.05, 0.03, -0.01
18220,-0.05, 0.03, -0.00
18364,-0.05, 0.03, -0.01
18488,-0.05, 0.03, -0.00
18632,-0.05, 0.03, -0.00
18771,-0.05, 0.03, -0.00
18911,-0.04, 0.03, -0.00
19049,-0.04, 0.03, -0.00
19193,-0.04, 0.03, -0.00
19339,-0.04, 0.03, -0.00
19472,-0.04, 0.03, -0.00
19609,-0.04, 0.03, -0.00
19740,-0.04, 0.03, -0.00
19885,-0.04, 0.03, -0.00
20018,-0.04, 0.03, -0.00
20149,-0.04, 0.03, -0.00
20286,-0.03, 0.03, -0.00
20422,-0.03, 0.03, -0.00
20713,-0.03, 0.03, -0.00
20843,-0.03, 0.03, -0.00
20986,-0.03, 0.03, -0.00
21123,-0.03, 0.03, -0.00
21259,-0.03, 0.03, -0.00
21391,-0.03, 0.03, -0.00
21536,-0.03, 0.03, -0.00
21671,-0.02, 0.03, -0.00
21800,-0.02, 0.03, -0.00
21936,-0.02, 0.03, -0.00
22070,-0.02, 0.03, -0.00
22212,-0.02, 0.03, -0.00
22363,-0.02, 0.03, -0.00
22491,-0.02, 0.03, -0.00
22628,-0.02, 0.03, -0.00
22764,-0.02, 0.03, -0.00
22892,-0.02, 0.03, -0.00
23035,-0.01, 0.03, -0.00
23179,-0.01, 0.03, -0.00
23316,-0.01, 0.03, -0.00
23455,-0.01, 0.03, -0.00
23593,-0.01, 0.03, -0.00
23730,-0.01, 0.03, -0.00
23866,-0.01, 0.03, -0.00
24010,-0.01, 0.03, -0.00
24142,-0.01, 0.03, -0.00
