T,pwm1,pwm2,pwm3
6684,2025,1975,2000
6804,2025,1975,2000
6923,2025,1975,2000
707,2025,1975,2000
7155,2025,1975,2000
7269,2025,1975,2000
7388,2025,1975,2000
7502,2025,1975,2000
7621,2025,1975,2000
7735,2025,1975,2000
7854,2025,1975,2000
7972,2025,1975,2000
8087,2025,1975,2000
8205,2025,1975,2000
8319,2025,1975,2000
8436,2025,1975,2000
8550,2025,1975,2000
8667,2025,1975,2000
8781,2025,1975,2000
8898,2025,1975,2000
9012,2025,1975,2000
9129,2025,1975,2000
9243,2025,1975,2000
9360,2025,1975,2000
9474,2025,1975,2000
9591,2025,1975,2000
9705,2025,1975,2000
9822,2025,1975,2000
9936,2025,1975,2000
10053,2025,1975,2000
10168,2025,1975,2000
10284,2025,1975,2000
10407,2025,1975,2000
10538,2025,1975,2000
10668,2025,1975,2000
10859,2025,1975,2000
11114,2025,1975,2000
11329,2025,1975,2000
11610,2025,1975,2000
11826,2025,1975,2000
12052,025,1975,2000
12186,1754,1975,2142
12307,1754,1975,2142
12427,1754,1975,2142
12544,1754,1975,2142
12661,1754,1975,2142
12778,1754,1975,2142
12899,1754,1975,2142
13028,1754,1975,2142
13160,1754,1975,2142
13292,1754,1975,2142
13423,1754,1975,2142
13555,1754,1975,2142
13684,1754,1975,2142
13816,1754,1975,2142
13950,1754,1975,2142
14083,1754,1975,2142
14214,1754,1975,2142
14346,1754,1975,2142
14478,1754,1975,2142
14609,1754,1975,2142
14744,1754,1975,2142
14878,1754,1975,2142
15010,1754,1975,2142
15145,1754,1975,2142
15278,2425,2375,2400
15417,2409,2375,2399
15568,2349,2375,2400
15700,2284,2375,2400
15833,2231,2375,2400
15973,2130,2375,2400
16101,1997,2375,2400
16247,1835,2375,2400
16392,1711,2375,2400
16535,1625,2375,2400
16676,1625,2375,2400
